window,date,port_return,turnover,port_return_net,cum_return_gross,cum_return_net
2022_2024,2024-02-22,-0.007194678777703672,0.8270833333333333,-0.009551866277703672,3.164813411540324,-0.6144740847747538
2022_2024,2024-02-23,0.011645258468738685,0.8373831775700935,0.009258716412663919,3.213313740191781,-0.6109046096559507
2022_2024,2024-02-26,-0.007151944150949259,0.8579439252336448,-0.009597084337865146,3.183180355631502,-0.614638790932557
2022_2024,2024-02-27,0.013627182304558103,0.8353909465020576,0.011246318107027238,3.240185316950539,-0.610304896189276
2022_2024,2024-02-29,0.006125336421388669,0.7695473251028807,0.003932126544845459,3.2661578785058936,-0.6087725657271854
2022_2024,2024-03-01,0.004201710200921049,0.736231884057971,0.0021034493313558315,3.284083037582752,-0.6079496386421562
2022_2024,2024-03-04,0.004393699574194266,0.8666666666666667,0.001923699574194266,3.3029060114007915,-0.6071954515289495
2022_2024,2024-03-05,0.008888228608207153,1.3448275862068966,0.005055469987517497,3.341151223709751,-0.6052096399231937
2022_2024,2024-03-06,-0.006538692422954391,0.8452380952380952,-0.008947620994382961,3.312765771096381,-0.6087420744373969
2022_2024,2024-03-07,-0.034487696588589065,0.7083333333333334,-0.036506446588589064,3.1640284137251564,-0.6230255109993103
2022_2024,2024-03-08,0.017004672810598243,1.043010752688172,0.014032092165436954,3.234836354474587,-0.6177357702256341
2022_2024,2024-03-11,0.01405319886299413,0.9659090909090909,0.01130035795390322,3.2943493519162557,-0.6134160475962106
2022_2024,2024-03-12,-0.004716295283046186,0.9242424242424242,-0.007350386192137095,3.2740959323240606,-0.6162575889420612
2022_2024,2024-03-13,-0.007828243267819135,0.8895463510848126,-0.010363450368410852,3.2406372696158314,-0.6202344843733145
2022_2024,2024-03-14,-0.0009902866761575626,0.2958579881656805,-0.001833481942429752,3.2364378230293136,-0.6209307775885735
2022_2024,2024-03-15,0.006858992436342925,0.32558139534883723,0.005931085459598738,3.265495518014509,-0.6186824856353477
2022_2024,2024-03-18,0.008048021318882706,0.9570661896243292,0.0053203826784533675,3.2998243168790884,-0.6166537305369311
2022_2024,2024-03-19,0.002554240296372659,0.9296296296296296,-9.520414807178508e-05,3.310807101416584,-0.6166902266919319
2022_2024,2024-03-20,0.00587417595320467,0.2512820512820513,0.005158022107050824,3.336129540830629,-0.6147131064073602
2022_2024,2024-03-21,0.0014500070887810068,0.9179487179487179,-0.0011661467573728394,3.3424169594027067,-0.6151624074689814
2022_2024,2024-03-22,0.0073707833442923825,0.8823529411764706,0.004856077461939442,3.3744239740010453,-0.6132936063093846
2022_2024,2024-03-25,-0.012906119707789541,0.3802521008403361,-0.0139898381951845,3.3179671345399635,-0.6187035661861595
2022_2024,2024-03-26,0.010832512257310935,0.4075993091537133,0.009670854226222853,3.364741566451533,-0.6150161039577673
2022_2024,2024-03-27,0.001941688874534428,0.9205526770293609,-0.0006818862549992509,3.3732165365913307,-0.6152786191848745
2022_2024,2024-03-28,-0.00040160065542423415,0.9056603773584906,-0.0029827327308959324,3.3714602499639232,-0.6164261402397072
2022_2024,2024-03-29,0.01201623999965901,0.7849056603773585,0.009779258867583539,3.4239887654764596,-0.6126750721702732
2022_2024,2024-04-01,-0.0032003756434053603,0.7782101167315175,-0.005418274476090185,3.4098303395847296,-0.6147737049406864
2022_2024,2024-04-02,0.011231821017914827,0.9027237354085603,0.00865905837200043,3.4593607646783155,-0.6114380079653383
2022_2024,2024-04-03,0.011438247261466769,0.8845360824742268,0.008917319426415223,3.510368035732789,-0.607973076565401
2022_2024,2024-04-08,0.011569347802965438,0.9567010309278351,0.008842749864821108,3.56255005225756,-0.6045064805411935
2022_2024,2024-04-09,-0.0013551843328315964,1.1595744680851063,-0.00465997156687415,3.556366955908981,-0.6063494690967546
2022_2024,2024-04-10,-0.0030385973977135367,0.8710562414266118,-0.00552110768577938,3.542521991133728,-0.6085228560684356
2022_2024,2024-04-11,0.002673117108951623,0.3196159122085048,0.0017622117591573842,3.554664684386016,-0.607832990441958
2022_2024,2024-04-12,-0.014158273997527367,0.22990654205607478,-0.01481350764238718,3.4901784938176172,-0.6136423594351382
2022_2024,2024-04-15,-0.019370185493953956,0.21217391304347827,-0.01997488114612787,3.4032029034914073,-0.6213598073853197
2022_2024,2024-04-16,0.014828542947866848,0.49217391304347824,0.013425847295692935,3.468495986854002,-0.6162762419792633
2022_2024,2024-04-17,0.009226632353607031,0.9972527472527473,0.006384462023936701,3.5097251564982717,-0.6138263722184977
2022_2024,2024-04-18,-0.00901392056892151,1.076271186440678,-0.012081293450277444,3.4690748521499293,-0.6184918491384842
2022_2024,2024-04-19,-0.0036031328509577927,0.8618266978922716,-0.0060593389399507674,3.452972181736758,-0.6208035363329081
2022_2024,2024-04-22,0.011397814664801055,0.23536299765807964,0.010727030121475528,3.5037263333717084,-0.6167358844451942
